Ligand,Pose,Binding Affinity,RMSD,Molecular_Weight (g/mol),HBAC,HBDC,Lipinski_Violations,XlogP,TPSA  (Ų)
Triclosan,1,-8,0,289.5,2,1,1,5,29.46
Triclosan,2,-7.8,14.598,289.5,2,1,1,5,29.46
Triclosan,3,-7.7,14.048,289.5,2,1,1,5,29.46
Triclosan,4,-7.6,5.993,289.5,2,1,1,5,29.46
Triclosan,5,-7.4,5.89,289.5,2,1,1,5,29.46
Triclosan,6,-7.4,5.927,289.5,2,1,1,5,29.46
Triclosan,7,-7.4,15.115,289.5,2,1,1,5,29.46
Triclosan,8,-7.3,12.474,289.5,2,1,1,5,29.46
Triclosan,9,-7.3,6.082,289.5,2,1,1,5,29.46
Coumarin,1,-7.8,0,146.14,2,0,0,0.22,30.21
Coumarin,2,-7.3,2.342,146.14,2,0,0,0.22,30.21
Coumarin,3,-7.3,2.628,146.14,2,0,0,0.22,30.21
Coumarin,4,-7,4.412,146.14,2,0,0,0.22,30.21
Coumarin,5,-6.9,3.447,146.14,2,0,0,0.22,30.21
Coumarin,6,-6.9,18.569,146.14,2,0,0,0.22,30.21
Coumarin,7,-6.8,2.854,146.14,2,0,0,0.22,30.21
Coumarin,8,-6.7,14.898,146.14,2,0,0,0.22,30.21
Coumarin,9,-6.6,2.923,146.14,2,0,0,0.22,30.21
Chalcone,1,-8.7,0,208.26,1,0,0,3.8,17.07
Chalcone,2,-8.7,1.711,208.26,1,0,0,3.8,17.07
Chalcone,3,-8.3,6.74,208.26,1,0,0,3.8,17.07
Chalcone,4,-8.2,7.18,208.26,1,0,0,3.8,17.07
Chalcone,5,-8.2,17.226,208.26,1,0,0,3.8,17.07
Chalcone,6,-8.2,15.817,208.26,1,0,0,3.8,17.07
Chalcone,7,-8.1,16.471,208.26,1,0,0,3.8,17.07
Chalcone,8,-8,6.662,208.26,1,0,0,3.8,17.07
Chalcone,9,-7.9,18.151,208.26,1,0,0,3.8,17.07
Ferulic Acid,1,-7.3,0,194.18,4,2,0,1.51,66.76
Ferulic Acid,2,-6.9,4.436,194.18,4,2,0,1.51,66.76
Ferulic Acid,3,-6.6,2.584,194.18,4,2,0,1.51,66.76
Ferulic Acid,4,-6.6,17.514,194.18,4,2,0,1.51,66.76
Ferulic Acid,5,-6.6,1.553,194.18,4,2,0,1.51,66.76
Ferulic Acid,6,-6.4,17.577,194.18,4,2,0,1.51,66.76
Ferulic Acid,7,-6.3,5.462,194.18,4,2,0,1.51,66.76
Ferulic Acid,8,-6.3,15.813,194.18,4,2,0,1.51,66.76
Ferulic Acid,9,-6.2,4.887,194.18,4,2,0,1.51,66.76
Caffeic Acid,1,-7.3,0,180.16,4,3,0,1.15,77.76
Caffeic Acid,2,-7.2,1.969,180.16,4,3,0,1.15,77.76
Caffeic Acid,3,-7,3.964,180.16,4,3,0,1.15,77.76
Caffeic Acid,4,-6.8,18.675,180.16,4,3,0,1.15,77.76
Caffeic Acid,5,-6.6,5.495,180.16,4,3,0,1.15,77.76
Caffeic Acid,6,-6.6,18.932,180.16,4,3,0,1.15,77.76
Caffeic Acid,7,-6.5,6.085,180.16,4,3,0,1.15,77.76
Caffeic Acid,8,-6.4,5.844,180.16,4,3,0,1.15,77.76
Caffeic Acid,9,-6.3,16.011,180.16,4,3,0,1.15,77.76
Gallic Acid,1,-6.3,0,170.12,5,4,0,0.7,97.99
Gallic Acid,2,-6.3,2.402,170.12,5,4,0,0.7,97.99
Gallic Acid,3,-6.2,4.535,170.12,5,4,0,0.7,97.99
Gallic Acid,4,-6.1,3.391,170.12,5,4,0,0.7,97.99
Gallic Acid,5,-6.1,4.333,170.12,5,4,0,0.7,97.99
Gallic Acid,6,-6.1,4.827,170.12,5,4,0,0.7,97.99
Gallic Acid,7,-6,3.902,170.12,5,4,0,0.7,97.99
