Ligand,Binding Affinity,rmsd/ub, rmsd/lb,Best one
PROTEIN_Ligand1,-7.8,0,0,-7.8
PROTEIN_Ligand1,-7.7,14.408,12.31,
PROTEIN_Ligand1,-7.6,13.902,11.809,
PROTEIN_Ligand1,-7.6,6.029,2.535,
PROTEIN_Ligand1,-7.4,5.958,1.944,
PROTEIN_Ligand1,-7.4,12.159,10.41,
PROTEIN_Ligand1,-7.4,5.919,1.466,
PROTEIN_Ligand1,-7.2,12.637,10.16,
PROTEIN_Ligand1,-7.2,12.463,10.569,
PROTEIN_Ligand10,-8.1,0,0,-8.1
PROTEIN_Ligand10,-8,14.473,12.595,
PROTEIN_Ligand10,-8,5.285,1.36,
PROTEIN_Ligand10,-7.8,15.852,13.337,
PROTEIN_Ligand10,-7.6,14.699,12.519,
PROTEIN_Ligand10,-7.6,3.684,2.626,
PROTEIN_Ligand10,-7.5,14.666,12.19,
PROTEIN_Ligand10,-7.4,15.947,14.044,
PROTEIN_Ligand10,-7.2,6.061,2.339,
PROTEIN_Ligand11,-8.2,0,0,-8.2
PROTEIN_Ligand11,-8,14.302,11.221,
PROTEIN_Ligand11,-7.7,13.306,10.864,
PROTEIN_Ligand11,-7.7,12.496,9.422,
PROTEIN_Ligand11,-7.6,6.139,1.496,
PROTEIN_Ligand11,-7.5,14.707,11.35,
PROTEIN_Ligand11,-7.4,6.135,1.882,
PROTEIN_Ligand11,-7.3,13.279,9.95,
PROTEIN_Ligand11,-7.2,10.934,7.845,
PROTEIN_Ligand12,-8,0,0,-8
PROTEIN_Ligand12,-7.6,5.69,1.662,
PROTEIN_Ligand12,-7.5,5.767,1.845,
PROTEIN_Ligand12,-7.3,8.574,6.695,
PROTEIN_Ligand12,-7.2,10.826,8.95,
PROTEIN_Ligand12,-7.1,5.88,2.106,
PROTEIN_Ligand12,-7,11.349,9.222,
PROTEIN_Ligand12,-6.9,5.943,3.792,
PROTEIN_Ligand12,-6.8,13.244,11.403,
PROTEIN_Ligand13,-8,0,0,-8
PROTEIN_Ligand13,-8,2.719,0.045,
PROTEIN_Ligand13,-7.7,13.739,10.864,
PROTEIN_Ligand13,-7.7,13.525,10.892,
PROTEIN_Ligand13,-7.6,3.392,2.051,
PROTEIN_Ligand13,-7.3,12.98,11.694,
PROTEIN_Ligand13,-7.2,6.152,3.459,
PROTEIN_Ligand13,-7.2,6.703,3.465,
PROTEIN_Ligand13,-7,5.07,3.439,
PROTEIN_Ligand14,-8.1,0,0,-8.1
PROTEIN_Ligand14,-8.1,14.602,12.298,
PROTEIN_Ligand14,-8,15.297,12.443,
PROTEIN_Ligand14,-7.9,5.966,1.809,
PROTEIN_Ligand14,-7.9,2.038,1.367,
PROTEIN_Ligand14,-7.7,6.722,3.166,
PROTEIN_Ligand14,-7.6,7.88,4.207,
PROTEIN_Ligand14,-7.5,5.814,1.701,
PROTEIN_Ligand14,-7.5,3.084,1.952,
PROTEIN_Ligand15,-7.7,0,0,-7.7
PROTEIN_Ligand15,-7.5,16.164,13.552,
PROTEIN_Ligand15,-7.4,5.109,2.918,
PROTEIN_Ligand15,-7.3,14.289,12.441,
PROTEIN_Ligand15,-7.2,5.697,3.295,
PROTEIN_Ligand15,-6.9,12.667,10.259,
PROTEIN_Ligand15,-6.9,12.768,10.83,
PROTEIN_Ligand15,-6.8,12.832,10.416,
PROTEIN_Ligand15,-6.6,14.635,11.912,
PROTEIN_Ligand16,-8.2,0,0,-8.2
PROTEIN_Ligand16,-7.9,14.211,12.173,
PROTEIN_Ligand16,-7.3,2.514,2.149,
PROTEIN_Ligand16,-7.3,12.274,10.354,
PROTEIN_Ligand16,-7.3,15.983,13.076,
PROTEIN_Ligand16,-7.2,13.95,11.68,
PROTEIN_Ligand16,-7.1,12.359,10.314,
PROTEIN_Ligand16,-7,11.436,8.774,
PROTEIN_Ligand16,-6.8,11.72,9.058,
PROTEIN_Ligand17,-7.8,0,0,-7.8
PROTEIN_Ligand17,-7.6,13.28,10.511,
PROTEIN_Ligand17,-7.3,3.278,2.231,
PROTEIN_Ligand17,-7.3,4.057,2.561,
PROTEIN_Ligand17,-7.3,3.059,1.447,
PROTEIN_Ligand17,-7.2,3.409,2.513,
PROTEIN_Ligand17,-7,3.514,2.304,
PROTEIN_Ligand17,-6.9,13.402,11.698,
PROTEIN_Ligand17,-6.8,14.424,11.778,
PROTEIN_Ligand18,-8.1,0,0,-8.1
PROTEIN_Ligand18,-8.1,5.914,0.01,
PROTEIN_Ligand18,-7.8,12.455,9.794,
PROTEIN_Ligand18,-7.8,13.596,9.827,
PROTEIN_Ligand18,-7.7,12.898,10.621,
PROTEIN_Ligand18,-7.5,14.217,11.017,
PROTEIN_Ligand18,-7.5,13.231,11.013,
PROTEIN_Ligand18,-7.4,13.768,10.368,
PROTEIN_Ligand18,-7.4,14.529,13.146,
PROTEIN_Ligand19,-8.3,0,0,-8.3
PROTEIN_Ligand19,-7.9,12.871,10.427,
PROTEIN_Ligand19,-7.8,13.815,11.417,
PROTEIN_Ligand19,-7.6,11.928,10.097,
PROTEIN_Ligand19,-7.6,10.62,8.681,
PROTEIN_Ligand19,-7.4,2.846,2.077,
PROTEIN_Ligand19,-7.4,5.944,2.14,
PROTEIN_Ligand19,-7.2,10.847,8.348,
PROTEIN_Ligand19,-7.1,10.273,8.503,
PROTEIN_Ligand2,-7.5,0,0,-7.5
PROTEIN_Ligand2,-7.4,5.986,2.708,
PROTEIN_Ligand2,-7.3,14.46,12.447,
PROTEIN_Ligand2,-7.2,14.474,11.945,
PROTEIN_Ligand2,-7.1,12.343,10.385,
PROTEIN_Ligand2,-7.1,13.015,10.563,
PROTEIN_Ligand2,-7,5.94,0.872,
PROTEIN_Ligand2,-7,15.107,12.756,
PROTEIN_Ligand2,-6.9,12.176,10.082,
PROTEIN_Ligand20,-7.6,0,0,-7.6
PROTEIN_Ligand20,-7.5,14.156,11.786,
PROTEIN_Ligand20,-7.5,5.913,1.528,
PROTEIN_Ligand20,-7.5,14.903,11.89,
PROTEIN_Ligand20,-7.5,2.162,1.326,
PROTEIN_Ligand20,-7.5,15.042,12.079,
PROTEIN_Ligand20,-7.4,3.715,2.242,
PROTEIN_Ligand20,-7.2,6.506,2.742,
PROTEIN_Ligand20,-7,14.836,12.648,
PROTEIN_Ligand3,-6,0,0,-6
PROTEIN_Ligand3,-5.6,4.072,2.43,
PROTEIN_Ligand3,-5.6,3.365,2.052,
PROTEIN_Ligand3,-5.5,3.319,2.696,
PROTEIN_Ligand3,-5.5,16.79,15.284,
PROTEIN_Ligand3,-5.2,14.001,12.675,
PROTEIN_Ligand3,-5.1,14.935,13.457,
PROTEIN_Ligand3,-5,3.811,3.204,
PROTEIN_Ligand3,-5,14.747,13.348,
PROTEIN_Ligand4,-8.3,0,0,-8.3
PROTEIN_Ligand4,-7.7,16.613,14.486,
PROTEIN_Ligand4,-7.7,17.738,15.511,
PROTEIN_Ligand4,-7.7,16.68,14.851,
PROTEIN_Ligand4,-7.7,16.392,14.101,
PROTEIN_Ligand4,-7.6,3.331,2.367,
PROTEIN_Ligand4,-7.6,5.382,2.294,
PROTEIN_Ligand4,-7.4,16.076,13.807,
PROTEIN_Ligand4,-7.4,3.039,1.702,
PROTEIN_Ligand5,-8.2,0,0,-8.2
PROTEIN_Ligand5,-8,5.98,1.368,
PROTEIN_Ligand5,-7.9,5.961,1.733,
PROTEIN_Ligand5,-7.9,14.017,10.541,
PROTEIN_Ligand5,-7.7,10.238,7.509,
PROTEIN_Ligand5,-7.7,2.635,1.363,
PROTEIN_Ligand5,-7.7,10.215,7.331,
PROTEIN_Ligand5,-7.5,10.398,7.005,
PROTEIN_Ligand5,-7.5,7.065,4.109,
PROTEIN_Ligand6,-8.1,0,0,-8.1
PROTEIN_Ligand6,-8,15.367,13.272,
PROTEIN_Ligand6,-7.9,3.109,1.304,
PROTEIN_Ligand6,-7.6,13.09,10.619,
PROTEIN_Ligand6,-7.5,14.137,11.882,
PROTEIN_Ligand6,-7.4,5.878,1.82,
PROTEIN_Ligand6,-7.4,11.326,9.326,
PROTEIN_Ligand6,-7.4,10.849,8.643,
PROTEIN_Ligand6,-7.3,3.402,1.785,
PROTEIN_Ligand7,-5.9,0,0,-5.9
PROTEIN_Ligand7,-5.8,16.34,15.007,
PROTEIN_Ligand7,-5.7,2.626,1.841,
PROTEIN_Ligand7,-5.5,15.146,13.83,
PROTEIN_Ligand7,-5.3,3.392,2.53,
PROTEIN_Ligand7,-5.2,15.097,13.859,
PROTEIN_Ligand7,-5.2,16.576,15.356,
PROTEIN_Ligand7,-5.1,3.697,2.39,
PROTEIN_Ligand7,-4.9,13.731,12.416,
PROTEIN_Ligand8,-8.1,0,0,-8.1
PROTEIN_Ligand8,-8,14.725,12.936,
PROTEIN_Ligand8,-8,3.17,1.481,
PROTEIN_Ligand8,-7.9,5.99,1.477,
PROTEIN_Ligand8,-7.8,5.107,1.579,
PROTEIN_Ligand8,-7.8,15.524,12.534,
PROTEIN_Ligand8,-7.6,13.451,11.407,
PROTEIN_Ligand8,-7.4,12.714,9.97,
PROTEIN_Ligand8,-7.3,10.76,8.916,
PROTEIN_Ligand9,-7.9,0,0,-7.9
PROTEIN_Ligand9,-7.9,3.349,2.193,
PROTEIN_Ligand9,-7.8,5.853,1.452,
PROTEIN_Ligand9,-7.8,3.468,1.924,
PROTEIN_Ligand9,-7.8,12.851,11.191,
PROTEIN_Ligand9,-7.7,13.948,12.16,
PROTEIN_Ligand9,-7.5,2.856,1.63,
PROTEIN_Ligand9,-7.5,6.036,1.956,
PROTEIN_Ligand9,-7.5,13.878,10.892,
